cell_length,energy,E-dispersion,E6,E8
2.861000013,-3.27E+00,-0.24311,-0.0338,-0.2093
2.911000013,-3.40E+00,-0.22476,-0.0321,-0.1927
2.961000013,-3.50E+00,-0.20756,-0.0305,-0.1771
3.011000013,-3.58E+00,-0.19167,-0.0289,-0.1627
3.061000013,-3.65E+00,-0.17724,-0.0275,-0.1497
3.111000013,-3.72E+00,-0.16435,-0.0262,-0.1382
3.161000013,-3.76E+00,-0.15301,-0.025,-0.1281
3.261000013,-3.83E+00,-0.13492,-0.0227,-0.1122
3.361000013,-3.86E+00,-0.12242,-0.0208,-0.1016
3.461000013,-3.86E+00,-0.11464,-0.0191,-0.0955
3.561000013,-3.84E+00,-0.11054,-0.0176,-0.0929
3.661000013,-3.81E+00,-0.10901,-0.0162,-0.0928
3.761000013,-3.75E+00,-0.10893,-0.015,-0.0939
3.861000013,-3.69E+00,-0.10934,-0.0138,-0.0955
3.961000013,-3.61E+00,-0.10954,-0.0127,-0.0968
4.061000013,-3.52E+00,-0.10921,-0.0118,-0.0975
4.161000013,-3.43E+00,-0.10892,-0.0109,-0.098
4.361000013,-3.29E+00,-0.17784,-0.016,-0.1618
4.561000013,-3.57E+00,-0.66606,-0.0579,-0.6082
4.761000013,-3.57E+00,-0.89207,-0.0807,-0.8114
4.961000013,-3.28E+00,-0.81281,-0.0813,-0.7315
4.661000013,-3.64E+00,-0.84169,-0.0739,-0.7678
4.961000013,-3.28E+00,-0.81281,-0.0813,-0.7315
5.261000013,-2.74E+00,-0.59685,-0.073,-0.5238
5.561000013,-2.26E+00,-0.41677,-0.0628,-0.354
6.861000013,-9.03E-01,-0.09696,-0.0285,-0.0685
8.161000013,-3.37E-01,-0.03598,-0.0188,-0.0171
