cell_length,energy,E-dispersion
3.2249999046000002,-.11346358E+01,-0.40582
3.4249999045999999,-.18935064E+01,-0.30904
3.6249999046000001,-.23628269E+01,-0.25906
3.8249999045999998,-.26397520E+01,-0.24283
4.0249999045999996,-.27769667E+01,-0.24346
4.2249999045999997,-.28141893E+01,-0.24623
4.4749999045999997,-.27560793E+01,-0.24237
4.7249999045999997,-.26153814E+01,-0.22608
4.9749999045999997,-.24375693E+01,-0.21057
5.2249999045999997,-.25256737E+01,-0.48376
5.6049999045999996,-.24803416E+01,
5.4249999045999999,-.26382092E+01,
5.7249999045999997,-.23204911E+01,-0.66908
6.0249999045999996,-.19142471E+01,-0.49169
6.3249999046000003,-.15605501E+01,-0.35196
6.6249999046000001,-.12656345E+01,-0.25288
6.9249999045999999,-.10214678E+01,-0.18378
,,
